ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"AROC","Archrock Inc. Common Stock","0001389050","4922","Natural Gas Transmission","2024","FY","13.01%","0.1301299327329696","172231000","1323531000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","652"
"ARTNA","Artesian Resources Corporation Class A Common Stock","0000863110","4941","Diversified Utility","2024","FY","8.53%","0.08526311828721221","20394000","239189000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","731"
"ATO","Atmos Energy Corporation Common Stock","0000731802","4924","Natural Gas Distribution","2025","FY","2.75%","0.027530888704423565","351858000","12780481000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","437"
"AVA","Avista Corporation Common Stock","0000104918","4931","Electric & Other Services Combined","2024","FY","6.95%","0.06947124662292552","180000000","2591000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","430"
"AWK","American Water Works Company Inc. Common Stock","0001410636","4941","Diversified Utility","2024","FY","10.17%","0.10172280294231514","1051000000","10332000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","352"
"AWR","American States Water Company Common Stock","0001056903","4941","Diversified Utility","2024","FY","12.96%","0.12963194431613032","119268000","920051000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","386"
"BATL","Battalion Oil Corporation Common Stock","0001282648","1311","Diversified Utility","2024","FY","-773.83%","-7.738349514563107","-31882000","4120000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","493"
"BKH","Black Hills Corporation Common Stock","0001130464","4911","Known Utility Exception","2024","FY","7.80%","0.07799514493788376","273100000","3501500000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","655"
"BKV","BKV Corporation Common Stock","0001838406","1311","Diversified Utility","2024","FY","-9.16%","-0.0916083494595319","-142870000","1559574000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","416"
"BRN","Barnwell Industries Inc. Common Stock","0000010048","1311","Diversified Utility","2025","FY","-16.99%","-0.16987151085511742","-1917000","11285000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","689"
